"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GAS1",1.60219878306878,7.02042395833333,6.32364693015897,6.97963208480329e-08,5.23472406360246e-05,8.00962928152068
"AQP9",-1.56805428571429,7.31914041666667,-5.79423192022451,4.62737702844433e-07,0.000124418261170387,6.22902855613305
"CENPF",1.98123984126984,6.13603979166667,5.70777553255302,6.2898992730444e-07,0.000124418261170387,5.94014841493245
"BIRC5",1.77866375661376,6.89272979166667,5.69268349536293,6.63564059575396e-07,0.000124418261170387,5.88979383237768
"TREM1",-1.93210603174603,7.5014375,-5.51092431388844,1.26166537028775e-06,0.000167725906819346,5.28526518107493
"HELLS",0.889861164021163,6.754325,5.49344832467156,1.34180725455477e-06,0.000167725906819346,5.22734175688009
"ANLN",1.19151380952381,6.77289604166667,5.06664902777772,5.95945709881233e-06,0.000638513260587035,3.82631044281399
"CDK6",0.896487566137566,8.67825854166667,4.93427312853972,9.40673345472044e-06,0.000881881261380041,3.39806078094828
"EZH2",0.908052380952384,7.51536041666667,4.86781686563777,1.181446439507e-05,0.000984538699589164,3.18439329947798
"TCF3",0.703614920634921,8.49427291666667,4.77596503489658,1.61648769850945e-05,0.00120632219461698,2.8906421216471
"CCNB1",1.07268507936508,7.43069916666667,4.73768768020884,1.84113108074652e-05,0.00120632219461698,2.76878992283054
"SPP1",-1.34311481481481,14.5681979166667,-4.7138657782698,1.99611156117646e-05,0.00120632219461698,2.69312838087593
"BCL2L1",-0.452578465608466,9.43013270833333,-4.7001662314238,2.09095847066943e-05,0.00120632219461698,2.64967800349848
"FANCA",0.868015238095239,6.12363333333333,4.66239098552035,2.37596980466089e-05,0.00127284096678262,2.53010310001387
"DNMT1",0.549692698412695,9.15045166666667,4.6165016458798,2.77373099560793e-05,0.00138686549780396,2.3853188815968
"MKI67",1.29468661375661,6.976463125,4.59436120212613,2.98827620170414e-05,0.00140075446954882,2.31565501667478
"MELK",1.07288169312169,5.77731833333333,4.49039139824369,4.23318866453741e-05,0.00186758323435474,1.99024327954531
"RRM2",1.18772084656084,7.7136625,4.37744208113647,6.16044922440377e-05,0.00252384764746128,1.64011543568333
"FBP1",-0.954106666666665,7.24305833333333,-4.36619571631202,6.39374737356857e-05,0.00252384764746128,1.60545556532131
"CDC25C",1.06640396825397,3.71569604166667,4.32973144633572,7.21094294607567e-05,0.00270410360477838,1.4933375424347
"SPRY4",0.871371005291005,8.27562333333333,4.30545260097516,7.81057140599287e-05,0.0027894897878546,1.41891022815942
"NOTCH1",0.688100211640212,8.47802208333333,4.22639491654172,0.00010118920708524,0.00344963205972411,1.17783066520767
"PIK3R2",0.502111640211643,8.76743541666667,4.11073543384799,0.000147294148264019,0.00470537394853167,0.828796522275088
"SOX2",0.687293492063485,11.023186875,4.10391521593915,0.000150571966353013,0.00470537394853167,0.808355525778989
"PDGFA",0.640860634920638,7.81166791666667,4.07549817125802,0.000165006810036716,0.00495020430110149,0.723359836731643
"KIF2C",1.00024714285714,5.89938854166667,4.03444075420269,0.000188254353337165,0.00543041403857205,0.601057796662996
"POLD1",0.444585767195766,6.37925854166667,4.01548100660638,0.000200031482959884,0.00555643008221901,0.544783473784929
"CCL20",-1.51612148148148,5.40829166666667,-4.00221532473313,0.000208692302168088,0.00558997237950235,0.505486950874664
"CLEC5A",-1.08205634920635,7.27592854166667,-3.97536301410377,0.000227347287671659,0.00587967123288773,0.426139913802921
"ZEB1",0.523996243386243,10.001093125,3.94214712599562,0.000252661155210968,0.00631652888027419,0.328357899192427
"SLC11A1",-1.09160867724868,8.6484125,-3.88631953356861,0.000301457918618143,0.00729333674076152,0.164948627881535
"UBE2C",1.21771544973545,6.28769541666667,3.86212641080972,0.000325321192643901,0.00762471545259144,0.0945067913205095
"CD300A",-0.696886931216934,7.98519729166667,-3.82282256821584,0.000368018070563082,0.00836404705825186,-0.0194426238416749
"BRIP1",0.812026666666663,5.87472166666667,3.7920548848008,0.000405157992290277,0.008937308653462,-0.108214597520345
"CDK2",0.538102380952378,8.57147354166667,3.74496475920009,0.000469069294509541,0.0100514848823473,-0.243336264502704
"S100A9",-1.21606206349206,9.41911270833333,-3.70780065523146,0.000526241699677635,0.0109633687432841,-0.349328375608927
"MARCO",-1.60643074074074,7.207249375,-3.62860638123949,0.000671198563674965,0.0133689971064403,-0.573235102774317
"HEY1",0.877706243386244,9.733715,3.62561515994641,0.000677362520059643,0.0133689971064403,-0.581639066125705
"APH1B",-0.456010052910053,7.58706291666667,-3.59545306571387,0.000742621916348175,0.0142264797676321,-0.666160820961871
"BLM",0.612000370370372,6.90911020833333,3.58839228297855,0.000758745587607045,0.0142264797676321,-0.685888746688295
"SREBF1",-0.666933015873015,10.8011120833333,-3.55500521362336,0.00083962842014481,0.0148964218575702,-0.778870648300465
"CDH11",0.700695079365076,9.97409145833333,3.5525475151722,0.000845897255873808,0.0148964218575702,-0.785695427777261
"ITGB3",-0.712746507936508,6.74535104166667,-3.54937267011493,0.000854061519834026,0.0148964218575702,-0.794507601727158
"BATF3",0.551659365079362,6.78410791666667,3.53030336468382,0.000904705303819375,0.0154211131332848,-0.847340413081199
"IL1R2",-1.15430227513228,5.93820354166667,-3.50395944486796,0.000979403391421273,0.0160159075413346,-0.920054193035356
"ICOSLG",-0.761413597883598,8.80903770833333,-3.49300236653238,0.00101217373140676,0.0160159075413346,-0.950203292056605
"CDKN1C",-0.809346772486771,8.60319625,-3.49001836821366,0.00102127779126092,0.0160159075413346,-0.958404294899687
"EXO1",0.775354285714284,5.87908583333333,3.48879977252715,0.00102501808264541,0.0160159075413346,-0.961752202522881
"SOX11",1.2390155026455,7.03986479166667,3.45522255849482,0.00113336621097013,0.0170583001137239,-1.05372716006108
"HAVCR2",-0.594058624338622,8.9635325,-3.45408543390812,0.00113722000758159,0.0170583001137239,-1.05683269581111
"CEBPB",-0.651945714285715,10.1650995833333,-3.43935016502909,0.00118830086691204,0.0174750127487065,-1.09701993931467
"CXCL8",-1.74683571428571,8.43752395833333,-3.42654453974235,0.00123445892692318,0.0178046960613921,-1.13186060854928
"NGFR",-1.11570047619048,8.219565625,-3.40270433137437,0.00132497070410771,0.0183171016981651,-1.19651406996037
