"ensembl_gene_rec","gene_name","d0_rc","d6_rc"
"ENSG00000000003.14","TSPAN6",327,307
"ENSG00000000419.12","DPM1",1140,1437
"ENSG00000000457.13","SCYL3",182,178
"ENSG00000000460.16","C1orf112",84,314
"ENSG00000000938.12","FGR",31,3
"ENSG00000000971.15","CFH",124,583
"ENSG00000001036.13","FUCA2",530,504
"ENSG00000001084.12","GCLC",675,550
"ENSG00000001167.14","NFYA",581,784
"ENSG00000001460.17","STPG1",115,125
"ENSG00000001461.16","NIPAL3",1301,1460
"ENSG00000001497.16","LAS1L",443,510
"ENSG00000001561.6","ENPP4",623,767
"ENSG00000001617.11","SEMA3F",375,872
"ENSG00000001626.15","CFTR",31,23
"ENSG00000001629.9","ANKIB1",1652,1236
"ENSG00000001630.16","CYP51A1",156,405
"ENSG00000001631.15","KRIT1",478,545
"ENSG00000002016.17","RAD52",383,443
"ENSG00000002079.14","MYH16",NA,1
"ENSG00000002330.13","BAD",512,500
"ENSG00000002549.12","LAP3",583,1117
"ENSG00000002587.9","HS3ST1",15,6
"ENSG00000002726.20","AOC1",652,155
"ENSG00000002745.12","WNT16",NA,2
"ENSG00000002746.14","HECW1",34,22
"ENSG00000002822.15","MAD1L1",198,240
"ENSG00000002834.17","LASP1",2200,3058
"ENSG00000002919.14","SNX11",292,389
"ENSG00000002933.8","TMEM176A",278,40
"ENSG00000003056.7","M6PR",898,1182
"ENSG00000003096.14","KLHL13",NA,19
"ENSG00000003137.8","CYP26B1",62,10
"ENSG00000003147.18","ICA1",257,201
"ENSG00000003249.13","DBNDD1",217,179
"ENSG00000003393.14","ALS2",511,599
"ENSG00000003400.14","CASP10",504,507
"ENSG00000003402.19","CFLAR",2403,1813
"ENSG00000003436.15","TFPI",10,11
"ENSG00000003509.15","NDUFAF7",319,327
"ENSG00000003756.16","RBM5",2061,1740
"ENSG00000003987.13","MTMR7",21,34
"ENSG00000003989.17","SLC7A2",102,804
"ENSG00000004059.10","ARF5",1221,1211
"ENSG00000004139.13","SARM1",253,94
"ENSG00000004142.11","POLDIP2",777,1074
"ENSG00000004399.12","PLXND1",454,565
"ENSG00000004455.16","AK2",3629,4297
"ENSG00000004468.12","CD38",9,10
"ENSG00000004478.7","FKBP4",5564,4096
"ENSG00000004487.16","KDM1A",2011,2329
"ENSG00000004534.14","RBM6",1205,1113
"ENSG00000004660.14","CAMKK1",122,41
"ENSG00000004700.15","RECQL",272,579
"ENSG00000004766.16","VPS50",475,595
"ENSG00000004776.12","HSPB6",101,66
"ENSG00000004777.18","ARHGAP33",377,503
"ENSG00000004779.9","NDUFAB1",822,1161
"ENSG00000004799.7","PDK4",280,14
"ENSG00000004809.13","SLC22A16",1,NA
"ENSG00000004838.13","ZMYND10",25,46
"ENSG00000004846.16","ABCB5",8,8
"ENSG00000004848.7","ARX",1,NA
"ENSG00000004864.13","SLC25A13",612,821
"ENSG00000004866.20","ST7",242,274
"ENSG00000004897.11","CDC27",915,1392
"ENSG00000004939.14","SLC4A1",NA,1
"ENSG00000004961.14","HCCS",219,281
"ENSG00000004975.11","DVL2",470,818
"ENSG00000005001.9","PRSS22",557,461
"ENSG00000005007.12","UPF1",2133,3416
"ENSG00000005020.12","SKAP2",290,441
