"ensembl_gene_rec","gene_name","A778_D0","A820_D0","A870_D0","A899_D0","A778_D6","A820_D6","A870_D6","A899_D6"
"ENSG00000000003.14","TSPAN6",846,987,327,1045,339,720,307,597
"ENSG00000000005.5","TNMD",NA,NA,NA,2,NA,NA,NA,NA
"ENSG00000000419.12","DPM1",1079,521,1140,1476,1164,832,1437,1377
"ENSG00000000457.13","SCYL3",354,234,182,376,248,170,178,196
"ENSG00000000460.16","C1orf112",241,206,84,307,327,227,314,266
"ENSG00000000938.12","FGR",46,62,31,41,62,44,3,15
"ENSG00000000971.15","CFH",72,4090,124,20,16,978,583,41
"ENSG00000001036.13","FUCA2",906,1148,530,1797,1551,1061,504,1620
"ENSG00000001084.12","GCLC",985,419,675,1080,1467,400,550,728
"ENSG00000001167.14","NFYA",1520,385,581,844,1095,407,784,768
"ENSG00000001460.17","STPG1",194,176,115,191,218,173,125,182
"ENSG00000001461.16","NIPAL3",685,655,1301,1098,743,623,1460,924
"ENSG00000001497.16","LAS1L",285,908,443,1094,206,820,510,778
"ENSG00000001561.6","ENPP4",734,671,623,858,584,669,767,935
"ENSG00000001617.11","SEMA3F",1222,590,375,1209,860,317,872,1405
"ENSG00000001626.15","CFTR",19,15,31,94,14,27,23,24
"ENSG00000001629.9","ANKIB1",1775,976,1652,1825,1269,892,1236,1692
"ENSG00000001630.16","CYP51A1",87,202,156,129,390,499,405,424
"ENSG00000001631.15","KRIT1",247,277,478,387,325,350,545,276
"ENSG00000002016.17","RAD52",172,342,383,223,253,409,443,370
"ENSG00000002079.14","MYH16",1,4,NA,1,4,2,1,65
"ENSG00000002330.13","BAD",481,254,512,606,524,398,500,601
"ENSG00000002549.12","LAP3",865,1612,583,1084,956,1463,1117,1027
"ENSG00000002587.9","HS3ST1",43,100,15,23,29,62,6,101
"ENSG00000002726.20","AOC1",1418,833,652,680,138,194,155,234
"ENSG00000002745.12","WNT16",NA,NA,NA,4,1,1,2,2
"ENSG00000002746.14","HECW1",19,35,34,105,35,8,22,51
"ENSG00000002822.15","MAD1L1",563,385,198,808,458,332,240,588
"ENSG00000002834.17","LASP1",4972,10432,2200,7278,4943,10089,3058,7966
"ENSG00000002919.14","SNX11",361,98,292,443,437,152,389,356
"ENSG00000002933.8","TMEM176A",1234,111,278,794,219,28,40,370
"ENSG00000003056.7","M6PR",1305,1459,898,3286,1878,1882,1182,3076
"ENSG00000003096.14","KLHL13",14,28,NA,28,40,55,19,37
"ENSG00000003137.8","CYP26B1",2005,3746,62,55,218,124,10,78
"ENSG00000003147.18","ICA1",699,166,257,831,630,204,201,517
"ENSG00000003249.13","DBNDD1",370,143,217,603,337,163,179,642
"ENSG00000003393.14","ALS2",1478,553,511,938,1840,768,599,923
"ENSG00000003400.14","CASP10",144,365,504,638,123,549,507,663
"ENSG00000003402.19","CFLAR",3838,1867,2403,2195,2719,2632,1813,1624
"ENSG00000003436.15","TFPI",4,6,10,6,16,24,11,7
"ENSG00000003509.15","NDUFAF7",375,205,319,401,534,243,327,400
"ENSG00000003756.16","RBM5",1155,2226,2061,1900,1231,2166,1740,1482
"ENSG00000003987.13","MTMR7",201,22,21,12,150,16,34,10
"ENSG00000003989.17","SLC7A2",2896,284,102,10,5200,336,804,33
"ENSG00000004059.10","ARF5",1150,673,1221,2581,1007,667,1211,1390
"ENSG00000004139.13","SARM1",311,746,253,784,129,325,94,223
"ENSG00000004142.11","POLDIP2",881,772,777,2371,899,795,1074,2242
"ENSG00000004399.12","PLXND1",1264,507,454,3320,1136,763,565,3969
"ENSG00000004455.16","AK2",1478,3106,3629,3931,1581,3706,4297,3507
"ENSG00000004468.12","CD38",25,9,9,13,41,8,10,35
"ENSG00000004478.7","FKBP4",4554,8075,5564,8511,3687,11853,4096,6348
"ENSG00000004487.16","KDM1A",1828,3067,2011,2690,1302,5061,2329,3335
"ENSG00000004534.14","RBM6",1423,3226,1205,2206,1679,3426,1113,2119
"ENSG00000004660.14","CAMKK1",231,142,122,523,97,81,41,107
"ENSG00000004700.15","RECQL",676,560,272,1258,678,833,579,1123
"ENSG00000004766.16","VPS50",397,332,475,441,442,475,595,332
"ENSG00000004776.12","HSPB6",19,NA,101,446,52,1,66,358
"ENSG00000004777.18","ARHGAP33",202,156,377,1511,132,156,503,456
"ENSG00000004779.9","NDUFAB1",590,479,822,933,893,816,1161,1230
"ENSG00000004799.7","PDK4",420,944,280,593,63,193,14,82
"ENSG00000004809.13","SLC22A16",1,NA,1,NA,2,3,NA,2
"ENSG00000004838.13","ZMYND10",62,206,25,43,22,54,46,47
"ENSG00000004846.16","ABCB5",NA,2,8,46,NA,NA,8,2
"ENSG00000004848.7","ARX",NA,NA,1,NA,NA,NA,NA,NA
"ENSG00000004864.13","SLC25A13",887,788,612,1436,928,1064,821,773
"ENSG00000004866.20","ST7",197,271,242,817,173,386,274,445
"ENSG00000004897.11","CDC27",886,596,915,1213,1133,918,1392,1417
"ENSG00000004939.14","SLC4A1",NA,1,NA,3,2,1,1,4
"ENSG00000004948.14","CALCR",9,6,NA,NA,10,2,NA,6
"ENSG00000004961.14","HCCS",145,631,219,349,184,942,281,363
"ENSG00000004975.11","DVL2",805,1409,470,1680,1097,2214,818,1840
"ENSG00000005001.9","PRSS22",1453,1056,557,669,1491,793,461,1865
"ENSG00000005007.12","UPF1",1515,1491,2133,3425,1406,1756,3416,3621
"ENSG00000005020.12","SKAP2",111,245,290,1299,155,329,441,1385
"ENSG00000005022.5","SLC25A5",1548,7325,2527,8048,1724,9292,3650,7181
"ENSG00000005059.15","MCUB",122,77,75,331,109,140,120,317
"ENSG00000005075.15","POLR2J",310,368,448,825,394,577,465,749
"ENSG00000005100.12","DHX33",671,470,380,916,480,343,499,790
"ENSG00000005102.12","MEOX1",535,36,3,137,1200,4601,193,431
"ENSG00000005108.15","THSD7A",42,174,29,3,22,94,5,27
"ENSG00000005156.11","LIG3",625,501,368,1145,450,598,355,958
"ENSG00000005175.9","RPAP3",506,473,389,596,767,670,733,828
"ENSG00000005187.11","ACSM3",343,228,64,155,158,496,35,67
"ENSG00000005189.19","REXO5",84,47,33,101,219,134,142,83
"ENSG00000005194.14","CIAPIN1",530,461,579,754,514,699,797,514
"ENSG00000005206.16","SPPL2B",530,591,507,1126,384,415,343,694
"ENSG00000005238.19","FAM214B",309,130,292,214,344,215,394,307
"ENSG00000005243.9","COPZ2",8,1,53,77,15,17,35,34
"ENSG00000005249.12","PRKAR2B",113,172,247,628,56,192,536,1728
"ENSG00000005302.18","MSL3",378,490,413,724,265,388,330,458
"ENSG00000005339.14","CREBBP",3102,1176,1427,4597,2019,1044,1576,2845
"ENSG00000005379.16","TSPOAP1",704,538,400,1115,92,88,173,225
"ENSG00000005381.7","MPO",8,NA,3,39,10,NA,3,60
"ENSG00000005421.8","PON1",2,6,2,2,1,112,2,2
"ENSG00000005436.13","GCFC2",274,322,207,530,171,305,227,326
"ENSG00000005448.16","WDR54",254,205,233,320,163,126,308,125
"ENSG00000005469.11","CROT",146,93,280,278,101,96,264,138
"ENSG00000005471.17","ABCB4",5,14,2,2,1,4,1,2
"ENSG00000005483.20","KMT2E",2473,2556,1641,2511,1604,2099,1453,1931
"ENSG00000005486.16","RHBDD2",1207,1223,2403,1742,875,1374,1658,1317
"ENSG00000005513.9","SOX8",NA,NA,3,1,NA,1,1,6
"ENSG00000005700.14","IBTK",1496,591,984,1139,2309,943,1119,1073
"ENSG00000005801.17","ZNF195",1216,1235,408,991,744,726,297,457
"ENSG00000005810.17","MYCBP2",1414,835,898,1238,1165,829,952,1004
"ENSG00000005812.10","FBXL3",1276,852,740,855,761,952,891,584
"ENSG00000005844.17","ITGAL",47,18,70,43,81,19,38,53
"ENSG00000005882.11","PDK2",694,261,506,1025,369,418,658,485
"ENSG00000005884.17","ITGA3",17481,6320,7748,14121,23311,2669,10293,21835
"ENSG00000005889.15","ZFX",368,579,347,873,360,619,437,592
"ENSG00000005893.15","LAMP2",1748,1889,1395,5262,1668,2159,1405,4555
"ENSG00000005961.18","ITGA2B",51,69,24,92,57,66,23,157
"ENSG00000005981.12","ASB4",NA,NA,2,NA,NA,NA,2,2
"ENSG00000006007.11","GDE1",1455,835,925,1405,1606,663,943,1253
"ENSG00000006015.17","REX1BD",303,538,481,447,260,572,470,462
"ENSG00000006016.10","CRLF1",63,61,13,26,30,62,4,9
