"","genes","logFC","logCPM","LR","PValue","FDR"
"ENSG00000125740.13","FOSB",-6.59260523252724,6.82044708645251,402.654838024655,1.45550769643437e-89,2.35865022207189e-85
"ENSG00000085741.12","WNT11",-4.79900045973955,4.53328571027239,178.342551685541,1.1151096861697e-40,9.03517623219002e-37
"ENSG00000163220.10","S100A9",2.44416957105824,7.3116732435383,157.998077300713,3.09785481066674e-36,1.67335790689515e-32
"ENSG00000018280.16","SLC11A1",-4.90969439307085,3.11048812837608,156.029611209268,8.34059061993933e-36,3.37898177490292e-32
"ENSG00000087586.17","AURKA",2.06454500500709,6.38468873669152,149.759643537095,1.95657367698021e-34,6.34125528709285e-31
"ENSG00000149043.16","SYT8",-3.08389023428631,5.46651191659444,145.802107879569,1.43417939085144e-33,3.87347950479125e-30
"ENSG00000134824.13","FADS2",2.6194256037311,7.70543821436579,134.425121912865,4.41044834116451e-31,1.02101879097958e-27
"ENSG00000101670.11","LIPG",2.99491484967703,4.69378619266741,119.85431686662,6.8081344048135e-28,1.27986694623906e-24
"ENSG00000133800.8","LYVE1",-7.96801027069633,1.66564916767152,119.768763829729,7.10817804143878e-28,1.27986694623906e-24
"ENSG00000170485.16","NPAS2",1.99346245963314,7.40271777584877,117.022071299257,2.83890703613443e-27,4.60044885205584e-24
"ENSG00000197635.9","DPP4",2.94709423246618,3.87466014901196,113.329133655828,1.82771932245526e-26,2.69256287458069e-23
"ENSG00000173391.8","OLR1",-5.64167335839128,1.99970565258773,112.093464720993,3.40856639110671e-26,4.60298486399035e-23
"ENSG00000100604.12","CHGA",4.8256753005363,4.36218859842695,110.369363587753,8.13323779567129e-26,1.01383937291426e-22
"ENSG00000124249.6","KCNK15",-2.05463683169495,5.28121531812226,109.860702519424,1.05124382588387e-25,1.21681472846057e-22
"ENSG00000170345.9","FOS",-3.56792218795797,7.14622431938576,107.582636829573,3.31779181972802e-25,3.58432109591283e-22
"ENSG00000203747.10","FCGR3A",-3.00317587453226,3.61221012289042,105.343782709112,1.02682100177824e-24,9.97999337052536e-22
"ENSG00000167552.13","TUBA1A",-1.75002246979783,7.17791361950155,105.305295063716,1.04696011909245e-24,9.97999337052536e-22
"ENSG00000132326.11","PER2",-2.23506080408704,5.51912786539597,104.682988125754,1.43326335742477e-24,1.23145770467998e-21
"ENSG00000134028.14","ADAMDEC1",5.80279824571243,2.01498992501212,104.668397324833,1.44385661147298e-24,1.23145770467998e-21
"ENSG00000112494.9","UNC93A",3.64973577277233,3.14840371423869,104.299348241038,1.73946230353504e-24,1.40939933143927e-21
"ENSG00000090104.11","RGS1",-6.15573713515242,2.15935968401862,103.580966943626,2.4996705567225e-24,1.92891244627086e-21
"ENSG00000100985.7","MMP9",5.92065980068206,4.64011598446678,102.147882380966,5.15278803926797e-24,3.79549682619715e-21
"ENSG00000120738.7","EGR1",-3.82718145105727,6.63018615477141,100.234834622988,1.35357792084583e-23,9.53683922056809e-21
"ENSG00000171223.5","JUNB",-1.58267912042259,7.37615871871342,99.8101004529795,1.67732657999349e-23,1.1325448845331e-20
"ENSG00000247095.2","MIR210HG",-2.41887260502497,4.1961667586657,98.8089665981801,2.7807255885956e-23,1.80246632652767e-20
"ENSG00000101335.9","MYL9",-2.10160804295643,7.05870919498203,95.165250205452,1.75137789074e-22,1.08940729951579e-19
"ENSG00000067064.11","IDI1",1.98047928387991,6.55423430764325,95.0944832845179,1.81511861073287e-22,1.08940729951579e-19
"ENSG00000104951.15","IL4I1",2.39767387075853,5.19990286858062,94.5444117292287,2.39654721815431e-22,1.3870017025068e-19
"ENSG00000163735.6","CXCL5",4.57279488856461,3.13563741563952,92.167752894507,7.96318432659137e-22,4.44977248318666e-19
"ENSG00000140465.13","CYP1A1",6.28837218736617,2.62193493943868,91.707720504326,1.00472136619689e-21,5.42716991307352e-19
"ENSG00000099194.5","SCD",3.06221901282936,9.10902735793579,90.715449324574,1.65892877091275e-21,8.67191636536808e-19
"ENSG00000124253.10","PCK1",-4.97807317714443,3.19163043812689,88.5644780584546,4.9204609329694e-21,2.49175216933653e-18
"ENSG00000164611.12","PTTG1",1.53531107667116,5.90185018307259,87.754044578816,7.4121206720801e-21,3.639800469426e-18
"ENSG00000138413.13","IDH1",2.02977360532735,8.58135662195631,84.3423934672418,4.16096693151542e-20,1.98319026838845e-17
"ENSG00000181085.14","MAPK15",-2.28540413203258,6.39405635409321,84.0072694050994,4.9295881673378e-20,2.2823993214774e-17
"ENSG00000173207.12","CKS1B",1.45973110497618,6.61486633624804,82.777627239196,9.18234131646318e-20,4.13332891759127e-17
"ENSG00000179403.11","VWA1",-1.60518662215029,7.04416049686492,81.7867139886543,1.51594205813198e-19,6.63941650054832e-17
"ENSG00000160326.13","SLC2A6",2.19708302489393,4.53081515477591,81.4600265304124,1.78842565550982e-19,7.6266941440886e-17
"ENSG00000184557.4","SOCS3",-1.76618596403868,5.75761213427999,80.5910859694817,2.77608960352098e-19,1.15350082115532e-16
"ENSG00000155659.14","VSIG4",-3.68031319197853,3.39161627989965,79.4890746448946,4.84899295240008e-19,1.96444826984108e-16
"ENSG00000173698.17","ADGRG2",-3.05129493143666,6.14179054462747,78.0512063749673,1.00403717547848e-18,3.96839571429971e-16
"ENSG00000231205.11","ZNF826P",-3.74853324011262,2.41194857898869,77.8887666042148,1.09009567025415e-18,4.20595246106392e-16
"ENSG00000130635.15","COL5A1",-2.45900559232677,4.87464881344181,77.777326705125,1.15336526844344e-18,4.34657771514558e-16
"ENSG00000175318.11","GRAMD2A",-2.56310672145227,4.53557974345876,76.4586407435854,2.24873620601897e-18,8.28199323148576e-16
"ENSG00000060656.19","PTPRU",-1.52852710516797,6.91429343462497,76.3839969050612,2.33536137842596e-18,8.40989580830948e-16
"ENSG00000050767.16","COL23A1",-2.64989054165386,4.79406724694714,76.0978581936927,2.69949918294167e-18,9.50986614338471e-16
"ENSG00000198417.6","MT1F",-2.2384542975077,5.96372562016848,75.45376040655,3.7406514932242e-18,1.28972888186592e-15
"ENSG00000117399.13","CDC20",1.79699098679068,6.99383400448581,74.3148214187007,6.66015892298849e-18,2.24849740306309e-15
"ENSG00000244731.7","C4A",-3.06805121594325,5.90248144322229,74.2506398409376,6.8802516366593e-18,2.27539750555233e-15
"ENSG00000142945.12","KIF2C",1.91080095336275,6.1969524072591,72.8592080656385,1.39236463428932e-17,4.51265377973169e-15
"ENSG00000123358.19","NR4A1",-2.19119689827322,5.85737881398543,72.4506039691506,1.71265521608956e-17,5.44187799543751e-15
"ENSG00000118849.9","RARRES1",-2.8208033241791,6.96288517642078,72.3561815874556,1.79659156036078e-17,5.59880119916277e-15
"ENSG00000120437.8","ACAT2",2.6032406694658,6.3288394061545,71.7613583022466,2.42861946784186e-17,7.42561858044856e-15
"ENSG00000148204.11","CRB2",-2.10394022895488,5.01239212651804,71.333030809285,3.01741857721532e-17,9.05504963773597e-15
"ENSG00000100097.11","LGALS1",1.95504341231187,7.16429281609908,70.6510966896043,4.26330643528498e-17,1.25612510515987e-14
"ENSG00000189334.8","S100A14",1.77671664230009,7.6931128507444,69.1810281287329,8.98279890278287e-17,2.59939743249279e-14
"ENSG00000024526.16","DEPDC1",1.82311663052541,5.50825146354833,68.7159754106263,1.13715991961272e-16,3.23292570128493e-14
"ENSG00000121957.13","GPSM2",1.35488876339153,6.0139031790133,68.594655339929,1.20931416550979e-16,3.37878207794588e-14
"ENSG00000138180.15","CEP55",2.04870406919235,6.18766272158544,66.8823244230697,2.88207485314814e-16,7.91593610089249e-14
"ENSG00000106772.17","PRUNE2",-2.73183624486033,4.74890555006474,66.6574738638938,3.23029187568291e-16,8.72403538537641e-14
"ENSG00000134057.14","CCNB1",1.59202239675311,7.20529407565256,66.6249909716427,3.28396271834595e-16,8.72403538537641e-14
"ENSG00000004799.7","PDK4",-2.9282747962641,4.40954892235364,66.1862712596526,4.10260159355566e-16,1.07230094876725e-13
"ENSG00000171711.2","DEFB4A",5.41249571598211,2.19874710625277,65.7835432615401,5.03267074681037e-16,1.29451475320734e-13
"ENSG00000157456.7","CCNB2",1.62386441151655,5.7769886049648,65.7502403369236,5.11843273781327e-16,1.29600316431663e-13
"ENSG00000072571.19","HMMR",1.94149512393051,5.82333380706012,64.6676822207258,8.86571153448247e-16,2.21029008332751e-13
"ENSG00000108106.13","UBE2S",1.27103382182194,6.74778965211097,64.4318798301568,9.99281429751466e-16,2.45353872259432e-13
"ENSG00000182809.10","CRIP2",-1.99235060065029,7.71430591173644,64.0470670864105,1.21482006624259e-15,2.9342823335693e-13
"ENSG00000139289.13","PHLDA1",2.84868139348251,7.67882110756356,63.99474589188,1.24751469268867e-15,2.9342823335693e-13
"ENSG00000165507.8","DEPP1",-2.03707328675396,5.28410402126045,63.9917687585759,1.24940130216774e-15,2.9342823335693e-13
"ENSG00000138131.3","LOXL4",-2.35338172881167,3.79525948462278,63.87153158625,1.32802924482102e-15,3.07438770176065e-13
"ENSG00000123975.4","CKS2",1.49943139546833,5.75190617173305,63.7432225217249,1.41740360448287e-15,3.23507400149929e-13
"ENSG00000175063.16","UBE2C",1.5648323242689,6.75379073160137,62.9890953876654,2.07854146412064e-15,4.67816172584374e-13
"ENSG00000138670.17","RASGEF1B",-2.55365629027316,3.51771757820002,62.7563517630642,2.33925962063459e-15,5.19283591128542e-13
"ENSG00000175793.11","SFN",1.72234407145175,6.41934389934312,62.6091400499252,2.52080881837948e-15,5.52023066241075e-13
"ENSG00000147509.13","RGS20",3.74184991087701,1.72109619843791,62.0124795685642,3.41287567796439e-15,7.37408671485505e-13
"ENSG00000127129.9","EDN2",-3.75368496579558,2.56548528668251,61.8041768497807,3.79368763113511e-15,8.08904053454533e-13
"ENSG00000023330.14","ALAS1",1.39891155911823,6.43957960391238,61.3248010264288,4.83945672873928e-15,1.01848566609377e-12
"ENSG00000077152.10","UBE2T",1.79694264038273,4.96303861882596,61.2404232083264,5.05136741978119e-15,1.04945396201992e-12
"ENSG00000077942.18","FBLN1",1.86773482088744,5.84942504030624,60.6980410163589,6.65363219685303e-15,1.36483683227852e-12
"ENSG00000169679.14","BUB1",1.69184172646947,6.30066959392095,60.5646560903322,7.12009965876948e-15,1.44226518712949e-12
"ENSG00000122877.15","EGR2",-3.81979696652391,1.80365357307519,60.3270541597007,8.03356089887883e-15,1.60720807859668e-12
"ENSG00000198826.10","ARHGAP11A",1.60113403131323,6.27229703196182,60.116585092418,8.9401836769319e-15,1.76677654249611e-12
"ENSG00000224389.9","C4B",-3.75503579350457,5.301561141422,60.0839698975522,9.08956191851935e-15,1.77465482999525e-12
"ENSG00000130598.15","TNNI2",-3.14759573621746,2.06059982934126,59.8452499780283,1.02616714603868e-14,1.97223368532886e-12
"ENSG00000185633.10","NDUFA4L2",-4.15894052388056,3.32865775711133,59.8289968153835,1.03467651936363e-14,1.97223368532886e-12
"ENSG00000133067.17","LGR6",-3.41186778238702,3.82773708187842,59.8063235648447,1.0466652078882e-14,1.97223368532886e-12
"ENSG00000079308.18","TNS1",-2.03389465035681,6.89192072566028,59.3947894894856,1.2901021805429e-14,2.40300067076985e-12
"ENSG00000253522.6","MIR3142HG",5.94057621071257,-0.191631480761345,58.6659022061186,1.86851798773268e-14,3.44083340809182e-12
"ENSG00000124006.14","OBSL1",-1.22464959872177,7.12242203889525,58.4417239993283,2.09402611318186e-14,3.76948158433847e-12
"ENSG00000187244.11","BCAM",-1.49098566669794,9.91933945097064,58.4329946961809,2.10333790710309e-14,3.76948158433847e-12
"ENSG00000189420.8","ZFP92",-2.37952470599201,4.46581893867499,58.420469303494,2.1167715160432e-14,3.76948158433847e-12
"ENSG00000117650.12","NEK2",1.62647493618352,4.83553533404318,57.8489559983503,2.83037160382182e-14,4.98545346086224e-12
"ENSG00000169607.12","CKAP2L",2.00164213714347,5.12012777726007,57.6213937525413,3.17750681784668e-14,5.5367202132479e-12
"ENSG00000173334.3","TRIB1",-1.59547788129654,6.05714383735781,57.1702223568245,3.99677021155842e-14,6.89017673173449e-12
"ENSG00000116690.12","PRG4",-4.11609072005084,2.33861989838325,56.930328824953,4.51528299727314e-14,7.70212220745382e-12
"ENSG00000103018.16","CYB5B",1.31229011262358,6.61163624383086,56.8528044540777,4.6968369923601e-14,7.92835869387452e-12
"ENSG00000186352.8","ANKRD37",-3.04642975671392,2.78187318201314,56.7085366112842,5.05436573075518e-14,8.44391718215337e-12
"ENSG00000153179.12","RASSF3",1.36177633349913,5.01202811330863,55.2765622500289,1.04709712586584e-13,1.73144989027101e-11
"ENSG00000149485.18","FADS1",1.30712727903539,7.28887112908402,55.2425382907587,1.06537971909952e-13,1.74388670181896e-11
"ENSG00000166851.14","PLK1",1.78390240669385,5.6061699734734,54.973258557198,1.22180931523233e-13,1.97994199533398e-11
"ENSG00000142871.16","CYR61",-1.65592139755072,6.2488367215176,54.8359494351338,1.3102211252985e-13,2.10219141935269e-11
"ENSG00000155368.16","DBI",1.2574997837875,6.31764954375813,54.7588970902734,1.36260944265078e-13,2.16481235472117e-11
"ENSG00000137801.10","THBS1",-2.09237226918125,5.96494854887109,54.6782781742853,1.41966786427658e-13,2.23356482918466e-11
"ENSG00000079459.12","FDFT1",1.66860110406058,8.26681386071795,54.372786520019,1.65843720821115e-13,2.58413220760208e-11
"ENSG00000110921.13","MVK",1.52975065903675,5.26672961538149,53.8919157144277,2.11827494920105e-13,3.24083586759875e-11
"ENSG00000115163.14","CENPA",1.88837702471673,4.51212065012063,53.8904158168226,2.11989263786157e-13,3.24083586759875e-11
"ENSG00000178372.7","CALML5",-3.42685948867378,3.29864164703268,53.8167326385009,2.20090318959803e-13,3.33323702686319e-11
